ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,case,summary,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,mental_health_sources,sources_additional_age,type,log_n_killed,log_n_injured,indegree,outdegree
90,58,2014-06-01,6500 46th Street Sacramento California,0.4828313737302301,0,4,Sacramento,California,-121.45240459999998,38.5084009,,,,,,,,,,,,,,,0.0,1.6094379124341005,8,0
91,58,2014-06-01,West Ferdinand Street and North Lavergne Avenue  Chicago Illinois,1.0227308671603779,1,5,Chicago,Illinois,-87.75049349999998,41.889518,,,,,,,,,,,,,,,0.6931471805599453,1.791759469228055,4,6
92,59,2014-06-02,2660 E. 79th St Chicago Illinois,0.6238324625039507,0,7,Chicago,Illinois,-87.5591115,41.7521292,,,,,,,,,,,,,,,0.0,2.079441541679836,8,1
93,60,2014-06-03,Auburn Avenue Atlanta Georgia,0.9680344001221916,1,4,Atlanta,Georgia,-84.37746120000001,33.7555132,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,5,5
94,61,2014-06-04,4900 West West End Avenue Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.74818619999998,41.883270399999994,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,3,4
95,62,2014-06-07,10811 W. Ten Mile Rd. Oak Park Michigan,0.9010913347279288,1,3,Oak Park,Michigan,-83.1719483,42.4742091,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,2,6
96,62,2014-06-07,Tish Lane Moncks Corner South Carolina,1.0227308671603779,1,5,Moncks Corner,South Carolina,-80.13136999999998,33.1714215,,,,,,,,,,,,,,,0.6931471805599453,1.791759469228055,0,7
97,63,2014-06-08,611 Hardin Street Opp Alabama,0.9680344001221916,1,4,Opp,Alabama,-86.253191,31.27251889999999,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,2,7
98,64,2014-06-09,Rosa Parks Boulevard and Godwin Avenue Paterson New Jersey,0.583773044716594,0,6,Paterson,New Jersey,-74.15908189999998,40.9206769,,,,,,,,,,,,,,,0.0,1.9459101490553128,7,5
99,65,2014-06-13,8600 block of South Figueroa Street Los Angeles California,1.178350206951907,3,1,Los Angeles,California,-118.28228500000002,33.9596113,,,,,,,,,,,,,,,1.3862943611198906,0.6931471805599453,0,7
100,66,2014-06-15,200 Berry Street Park Forest Illinois,0.4828313737302301,0,4,Park Forest,Illinois,-87.67870440000002,41.5015419,,,,,,,,,,,,,,,0.0,1.6094379124341005,7,0
101,66,2014-06-15,5100 Clinton Drive Kokomo Indiana,0.4828313737302301,0,4,Kokomo,Indiana,-86.1251637,40.4368037,,,,,,,,,,,,,,,0.0,1.6094379124341005,7,0
102,67,2014-06-20,6600 block of Greig Street Seat Pleasant Maryland,0.4828313737302301,0,4,Seat Pleasant,Maryland,-76.9058536,38.9001431,,,,,,,,,,,,,,,0.0,1.6094379124341005,6,0
103,68,2014-06-21,2119 East Alcy Road Memphis Tennessee,0.5375278407684164,0,5,Memphis,Tennessee,-89.99202629999998,35.0779873,,,,,,,,,,,,,,,0.0,1.791759469228055,5,1
104,68,2014-06-21,Florida Avenue and U Street NW Washington District of Columbia,0.4828313737302301,0,4,Washington,District of Columbia,-77.04119509999998,38.917022499999995,,,,,,,,,,,,,,,0.0,1.6094379124341005,5,0
105,69,2014-06-22,Windsor Avenue Windsor California,0.9010913347279288,1,3,Windsor,California,-122.81890320000001,38.5478719,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,2,5
106,70,2014-06-24,Northwest 12th Avenue and 65th Street Miami Florida,1.3928610645716275,2,7,Miami,Florida,-80.2169445,25.8343478,,,,,,,,,,,,,,,1.0986122886681098,2.079441541679836,0,10
107,71,2014-06-25,Midland Street Lowell Massachusetts,0.5375278407684164,0,5,Lowell,Massachusetts,-71.32692829999998,42.6235027,,,,,,,,,,,,,,,0.0,1.791759469228055,3,2
108,72,2014-06-26,Grand St Detroit Michigan,1.0986122886681096,2,2,Detroit,Michigan,-83.1258155,42.3936105,,,,,,,,,,,,,,,1.0986122886681098,1.0986122886681098,1,8
109,72,2014-06-26,24th and Locust Milwaukee Wisconsin,0.5375278407684164,0,5,Milwaukee,Wisconsin,-87.9423791,43.0714769,,,,,,,,,,,,,,,0.0,1.791759469228055,2,2
110,73,2014-06-27,1600 block of Cathy Street San Diego California,0.9010913347279288,1,3,San Diego,California,-117.09462959999999,32.5872545,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,2,9
111,74,2014-06-28,Fifth Avenue and West 139th Street Manhattan New York,0.4828313737302301,0,4,Manhattan,New York,-73.93575799999998,40.8153398,,,,,,,,,,,,,,,0.0,1.6094379124341005,7,0
112,74,2014-06-28,5500 Cedar Point Way Antioch California,0.6238324625039507,0,7,Antioch,California,-121.7575243,37.9570006,,,,,,,,,,,,,,,0.0,2.079441541679836,4,7
113,75,2014-06-29,1100 block of North Vermont Avenue Los Angeles California,1.0227308671603779,1,5,Los Angeles,California,-118.29135120000001,34.0912202,,,,,,,,,,,,,,,0.6931471805599453,1.791759469228055,2,12
114,75,2014-06-29,2800 block of Dayton Saint Louis Missouri,0.4828313737302301,0,4,Saint Louis,Missouri,-90.216016,38.641863,,,,,,,,,,,,,,,0.0,1.6094379124341005,7,0
115,75,2014-06-29,700 block of Bourbon St New Orleans Louisiana,1.1759785542901753,1,9,New Orleans,Louisiana,-90.06545679999998,29.95860729999999,,,,,,,,,,,,,,,0.6931471805599453,2.302585092994046,1,13
116,76,2014-06-30,Scottsdale Circle Lexington Kentucky,0.9010913347279288,1,3,Lexington,Kentucky,-84.47805290000002,38.075951,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,4,10
